NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45
83,208,HAER2667,77729,1,26,f,1,,103194,9,,klug,klein,kurz,unsympathisch,krank,still,durchschnittlich,couragiert,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,209,SIEL2672,77731,5,20,f,1,,210813,22,1,depressiv,froehlich,aengstlich,heftig,fromm,unkonventionell,verletzt,wuetend,individualistisch,besorgt,religioes,unbeirrbar,frustriert,diktatorisch,intelligent,geliebt,talentiert,herzlos,freundlich,stolz,unkonventionell,bildschoen,,,,,,,,,,,,,,,,,,,,,,,
85,149,LYLU2455,77431,6,24,f,1,,252473,12,,freundlich,gluecklich,wuetend,herzlos,unbeirrbar,emotional,geliebt,talentiert,schoen,zufrieden,religioes,leidend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,239,ad2858,78933,1,30,f,1,,leer,12,,fortschrittlich,zahm,zuverlaessig,intellektuell,krank,behindert,entstellt,sympathisch,zaertlich,klein,kurz,unvorhersehbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,150,MAIK2568,77433,1,25,m,1,,185940,12,,kurz,introvertiert,sorgsam,zaertlich,pessimistisch,optimistisch,durchschnittlich,gut,unsympathisch,klein,schuechtern,zuverlaessig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,243,DOED3150,78938,2,21,f,1,,13268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,247,NAND2464,78947,6,22,f,,,54495,8,,opportunistisch,feindselig,gluecklich,talentiert,intelligent,frustriert,individuell,ungluecklich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,153,REHO3054,77439,4,28,f,,,106883,16,,fromm,religioes,unbeirrbar,opportunistisch,bildschoen,eigensinnig,hasserfuellt,diktatorisch,verletzt,stolz,selbstzufrieden,talentiert,unsicher ,unkonventionell,warmherzig,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,155,scas0760,77441,4,28,m,,,44699,,,fromm,religioes,heftig,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,156,SCAN1265,77442,5,22,f,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,160,GIPP2463,77449,6,29,m,,,147579,6,,religioes,heftig,lieblos,opportunistisch,intelligent,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,161,SCAN1265,77450,2,22,f,,,157899,10,,pessimistisch,haesslich,klug,zahm,zaertlich,introvertiert,ruhig,hasserfuellt,kurz,kompetent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,163,kaan672,77452,5,19,f,,,171328,14,,wuetend,gluecklich,froehlich,fromm,gläubig,wundervoll,lieblos,herzlos,intelligent,unbeirrbar,unkonventionell,diktatorisch,unsicher,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,255,Jaeo1363,78964,4,23,f,,,94691,7,,opportunistisch,wundervoll,talentiert,wuetend,ungluecklich,selbstzufrieden,heftig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,171,KLIN0656,77467,1,23,f,,,199712,8,,kurz,beschaulich,klein,zaertlich,zahm,dumm,klug,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,230,SOLO2253,78619,1,26,f,,,94964,7,,kurz,dumm,unsympathisch,still,ruhig,ehrlich,pessimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,258,Ster2153,78970,2,26,f,,,71155,9,,simpel,kurz,sympathisch,unsympathisch,aufmerksam,schuechtern,zaertlich,loyal,durchschnittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,170,Evas0164,77469,3,25,f,,,142008,14,,kurz,klein,zahm,still,schuechtern,schoen,simpel,klug,intellektuell,mutig,entstellt,krank,ungesund,sensibel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,175,HÖLS0565,77473,4,21,f,,,224784,16,,opportunistisch,gluecklich,heftig,leidenschaftlich,lieblos,wuetend,schmerzhaft,charmant,warmherzig,religioes,fromm,aengstlich,unsicher,frustriert,talentiert,bildschoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,297,DEEL1841,78975,6,23,f,,,108431,7,,heftig,leidenschaftlich,religioes,unkonventionell,stolz,wuetend,aengstlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,325,JAAU1775,79223,6,43,f,,,141343,8,,warmherzig,leidenschaftlich,wundervoll,heftig,hasserfuellt,opportunistisch,talentiert,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,173,ZAS363,77476,6,26,f,,,91597,11,,opportunistisch,ungluecklich,warmherzig,geliebt,leidenschaftlich,egoistisch,heftig,stolz,talentiert,religioes,bereitwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,328,DÜNK1262,79233,6,23,f,,,174595,16,,opportunistisch,froehlich,wuetend,egoistisch,depressiv,leidenschaftlich,hasserfuellt,aengstlich,unbeirrbar,geliebt,bildschoen,enthusiastisch,intelligent,unkonventionell,leidend,diktatorisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,177,LJIR0477,77490,3,19,f,,,70086,8,,kurz,winzig,unvorhersehbar,schuechtern,loyal,klug,dumm,huebsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,352,BRRR1859,79509,6,23,f,,,102397,11,1,opportunistisch,lieblos,bildschoen,enthusiastisch,heftig,wuetend,unbeirrbar,intelligent,lieblos,geliebt,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,231,BRNS2065,78674,2,24,f,,,105513,12,,kurz,winzig,klein,zaertlich,wertlos,haesslich,unsympathisch,schuechtern,hoffnungsvoll,vorhersehbar,schlau,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,265,Klrd1152,78984,5,27,m,,,63775,7,,hasserfuellt,fromm,leidenschaftlich,opportunistisch,gluecklich,geliebt,glaeubig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,329,dulf1296,79254,2,24,f,,,246155,15,,unsympathisch,kurz,klein,optimistisch,fortschrittlich,pessimistisch,behindert,introvertiert,still,schuechtern,durchschnittlich,zuverlaessig,gut,intellektuell,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,19,Rian1562,76643,3,25,f,,,5219,1,,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,331,asoi509,79275,2,24,f,0,,,,,kurz,zart,sympathisch,introvertiert,pessimistisch,optimistisch,haesslich,klug,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,210,EILM2250,77747,3,34,m,,,165550,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,199,WELR1208,77636,4,51,m,,,203418,7,,warmherzig,euphorisch,enthusiastisch,hasserfuellt,liebevoll,ehrgeizig,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,21,WAUT0934,76656,6,54,f,,,197892,11,,opportunistisch,religioes,wuetend,fromm,lieblos,ungeliebt,enthusiastisch,aengstlich,leidenschaftlich,humorvoll,traurig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,22,wert9014,76657,3,75,f,,,152462,4,,schüchtern,kurz,klein,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,23,BALF1462,76658,5,21,m,,,119026,8,,opportunistisch,gluecklich,heftig,wuetend,herzlos,talentiert,wundervoll,intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,201,VEAS1061,77639,3,23,f,,,98497,9,,klein,unvorhersehbar,inkompetent,zaertlich,klug,haesslich,schuechtern,hoffnungsvoll,still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,27,KLIN0256,76663,4,26,f,,,48439,10,,heftig,leidenschaftlich,depressiv,traurig,gluecklich,ungluecklich,opportunistisch,liebevoll,talentiert,boeswillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,109,wert2530,77139,2,60,m,,,55626,3,,kurz,inkompetent,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,29,DARD2975,76668,3,19,f,,,243713,9,,unvorhersehbar,schuechtern,kurz,unsympathisch,loyal,zuverlaessig,theatralisch,unueblich,ehrlich ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
