NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct answer,number of False answer,probable typo,correct Recall rate,False recall rate,Present Recall rate,Past Recall rate,Other Recall rate,Present FPR,Past FPR,Other FPR
27,225,DORK0159,78463,3,33,m,1,,89821,still,schuechtern,klein,ehrlich,gut,ruhig,gelassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,6,1,0,0.857142857,0.142857143,0.066666667,0.133333333,0.2,0.933333333,0.866666667,0.8
28,303,Börd2854,79084,2,28,f,1,,76144,klein,kurz,sympathisch,unsympathisch,haesslich,zuverlaessig,dumm,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,7,1,0,0.875,0.125,0.133333333,0.266666667,0.066666667,0.866666667,0.733333333,0.933333333
29,305,MAKA1869,79087,4,23,f,1,,137263,enthusiastisch,religioes,schmerzhaft,geliebt,eigensinnig,liebevoll,krass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,5,2,0,0.714285714,0.285714286,0.066666667,0.2,0.066666667,0.933333333,0.8,0.933333333
30,306,Womi2270,79091,5,21,f,1,,90648,lieblos,egoistisch,heftig,wundervoll,freundlich,gluecklich,fromm,eigensinnig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,0,1,0,0.2,0.266666667,0.066666667,0.8,0.733333333,0.933333333
31,307,BEEF1463,79092,4,24,f,1,,122204,heftig,enthusiastisch,freundlich,geliebt,herzlos,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,1,0,0.066666667,0.2,0.133333333,0.933333333,0.8,0.866666667
32,309,BRNK0963,79111,1,18,f,1,,30430,kurz,winzig,durchschnittlich,klug,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,1,0,0.133333333,0,0.2,0.866666667,1,0.8
33,311,EJ2169,79115,6,18,nb,1,,46785,leidenschaftlich,unkonventionell,herzlich,opportunistisch,leidenschaftlich,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4,1,0,0.8,0.2,0.266666667,0,0.066666667,0.733333333,1,0.933333333
34,121,D-AIPX15,77251,5,39,m,1,,91635,herzlos,opportunistisch,ungeliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,1,0,0.666666667,0.333333333,0,0.133333333,0,1,0.866666667,1
35,314,KLIS1670,79133,5,20,f,1,,54747,heftig,gluecklich,unbeirrbar,opportunistisch,unsicher,wuetend,wundervoll,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,0,1,0,0.133333333,0.4,0,0.866666667,0.6,1
36,181,nird1265,77524,5,21,f,1,,231117,religioes,fromm,talentiert,wuetend,unkonventionell,lieblos,opportunistisch,freundlich,enthusiastisch,eigensinnig,unbeirrbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,0,1,0,0.2,0.466666667,0.066666667,0.8,0.533333333,0.933333333
