NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct recall,number of False recall,Present Recall,Past Recall,Other Recall,Positive Present Recall,Positive Past Recall,Positive Other Recall,Neg Present Recall,Neg Past Recall,Neg Other Recall,Neutral Present Recall,Neutral Past Recall,Neutral Other Recall
31,307,BEEF1463,79092,4,24,f,1,,122204,6,0,heftig,enthusiastisch,freundlich,geliebt,herzlos,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,3,2,0,3,0,0,0,1,1,0,1
32,309,BRNK0963,79111,1,18,f,1,,30430,5,0,kurz,winzig,durchschnittlich,klug,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,2,0,3,0,0,1,0,0,0,2,0,2
33,311,EJ2169,79115,6,18,nb,1,,46785,6,1,leidenschaftlich,unkonventionell,herzlich,opportunistisch,leidenschaftlich,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4,1,3,0,1,1,0,1,0,0,0,2,0,0
34,121,D-AIPX15,77251,5,39,m,1,,91635,3,0,herzlos,opportunistisch,ungeliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,1,0,2,0,0,0,0,0,1,0,0,1,0
35,314,KLIS1670,79133,5,20,f,1,,54747,8,0,heftig,gluecklich,unbeirrbar,opportunistisch,unsicher,wuetend,wundervoll,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,2,6,0,1,2,0,1,1,0,0,3,0
36,181,nird1265,77524,5,21,f,1,,231117,11,0,religioes,fromm,talentiert,wuetend,unkonventionell,lieblos,opportunistisch,freundlich,enthusiastisch,eigensinnig,unbeirrbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,3,7,1,2,1,0,0,2,0,1,4,1
37,123,roze2609,77278,6,37,m,1,,138033,8,2,gluecklich,wundervoll,aengstlich,heftig,gluecklich,wundervoll,aergerlich,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,5,1,3,2,0,2,0,0,0,1,0,1,1,0
38,316,GEUT1163,79149,3,18,m,1,,84449,6,0,kurz,haesslich,inkompetent,intellektuell,optimistisch,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,4,1,1,1,0,1,2,1,0,1,0,0
39,183,WIAS1562,77546,2,20,f,1,,39109,3,0,schuechtern,vorausschauend,pragmatisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0
40,317,Staf666,79154,6,23,f,1,,79154,10,0,eigensinnig,unsicher,religioes,opportunistisch,geliebt,begabt,schmerzvoll,zufrieden,emotional,bestimmend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,6,4,2,1,3,0,0,1,0,0,1,2,1,1
41,185,AILO0658,77549,5,22,f,1,,4994,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
