subj_counter_global,PreNegRe,PreNegRT,PreNeuRe,PreNeuRT,PrePosRe,PrePosRT,PasNegRe,PasNegRT,PasNeuRe,PasNeuRT,PasPosRe,PasPosRT,OthNegRe,OthNegRT,OthNeuRe,OthNeuRT,OthPosRe,OthPosRT
91,2,5409.83333333333,3,2775.33333333333,3.5,3605.33333333333,1.66666666666667,5235.66666666667,2.875,2833.625,3.75,5272.75,1.5,2481.83333333333,2,2639.75,3.8,2549.6
93,4,8978,2.33333333333333,12224.1666666667,3,4647,1.625,10406.125,3,11502,3.75,8946.75,2,9370,4.16666666666667,12718.6666666667,4,9635.75
103,1,3472.8,3,3528,3.85714285714286,3004.42857142857,1.75,3359.5,2.6,3271,3.66666666666667,3295.66666666667,1,2334,2.28571428571429,3322.71428571429,4,2547
104,1.75,3734.25,2,5416.33333333333,3.625,3875.375,2,4090.42857142857,3,4309.83333333333,3,3897.5,2,3875.5,2.83333333333333,3507.83333333333,3.6,3383.8
107,2.25,3053.75,3,2137.2,3.16666666666667,2266.5,2.14285714285714,4405.57142857143,3.6,2918.2,2.33333333333333,2558.66666666667,1.25,4231,1.8,2461.8,3.5,3155.83333333333
109,1,5295.5,4,6949,3.16666666666667,5303.16666666667,4.33333333333333,9460,3.71428571428571,5421.28571428571,2.4,4984.2,1.25,7332.5,2.28571428571429,6193.14285714286,2.75,6625
112,4,5364.66666666667,2.5,5482.5,2.6,4334.8,4.66666666666667,5848.66666666667,3.33333333333333,5284.83333333333,1.66666666666667,3778.16666666667,3.16666666666667,6725,3.4,3006.2,3.25,4600
116,2.33333333333333,8417.66666666667,3,8012,3.16666666666667,8189.5,3.33333333333333,7480.33333333333,2.66666666666667,9584.5,3,8897.66666666667,2.33333333333333,6031.66666666667,2.83333333333333,16003.5,4,10308.6666666667
117,3,7838.6,3.2,7478,4.2,6336,3.5,10431,3,19452.8,1.5,7249.75,1.5,6908.5,4.4,7651,4.16666666666667,6552.83333333333
121,5,3944,3.75,6319,3.2,6014.6,1.57142857142857,7058.28571428571,3,7209.4,1.33333333333333,5184,2.83333333333333,8829.16666666667,3.5,6899.5,3,6927.85714285714
